Sample Filename	Pass/Fail	DQC	QC call_rate	call_rate	QC het_rate	het_rate	QC computed_gender	affymetrix-plate-barcode	affymetrix-plate-peg-wellposition	Average call rate for passing samples	Percent of passing samples
D0200030143.CEL	Pass	0.982	99.967	99.838	44.433	24.549	female	5511524422441081822019	F01	99.934	100
D0200030144.CEL	Pass	0.986	99.951	99.868	43.724	24.262	female	5511524422441081822019	E03	99.934	100
D0200030146.CEL	Pass	0.982	99.978	99.822	42.982	24.265	male	5511524422441081822019	F07	99.934	100
D0200030151.CEL	Pass	0.96	99.857	99.335	44.285	24.755	female	5511524422441081822019	F12	99.934	100
D0200030154.CEL	Pass	0.986	99.984	99.693	43.642	24.425	male	5511524422441081822019	E11	99.934	100
D0200030157.CEL	Pass	0.984	99.956	99.869	44.203	24.393	male	5511524422441081822019	G12	99.934	100
D0200030163.CEL	Pass	0.972	99.945	99.532	43.565	24.478	female	5511524422441081822019	D02	99.934	100
D0200030164.CEL	Pass	0.978	99.929	99.561	44.038	24.72	female	5511524422441081822019	G01	99.934	100
D0200030165.CEL	Pass	0.988	99.923	99.538	43.13	24.276	female	5511524422441081822019	E10	99.934	100
D0200030170.CEL	Pass	0.986	99.984	99.872	43.752	24.312	male	5511524422441081822019	D05	99.934	100
D0200030171.CEL	Pass	0.986	99.994	99.894	43.312	24.439	female	5511524422441081822019	F02	99.934	100
D0200030177.CEL	Pass	0.962	99.934	99.372	41.602	23.352	female	5511524422441081822019	C12	99.934	100
D0200030178.CEL	Pass	0.978	99.951	99.582	44.252	24.653	female	5511524422441081822019	D08	99.934	100
D0200030181.CEL	Pass	0.976	99.967	99.575	44.576	24.518	male	5511524422441081822019	D12	99.934	100
D0200030182.CEL	Pass	0.99	99.962	99.896	44.67	24.408	male	5511524422441081822019	H02	99.934	100
D0200030184.CEL	Pass	0.984	99.973	99.86	43.845	24.479	female	5511524422441081822019	H12	99.934	100
D0200030195.CEL	Pass	0.99	99.973	99.856	42.993	24.237	female	5511524422441081822019	D07	99.934	100
D0200030199.CEL	Pass	0.988	99.967	99.908	43.026	24.246	male	5511524422441081822019	G03	99.934	100
D0200030203.CEL	Pass	0.988	98.433	95.743	44.433	23.398	male	5511524422441081822019	F03	99.934	100
D0200030206.CEL	Pass	0.99	99.994	99.896	43.504	24.201	male	5511524422441081822019	D04	99.934	100
D0200030210.CEL	Pass	0.982	99.973	99.861	44.104	24.383	female	5511524422441081822019	E06	99.934	100
D0200030217.CEL	Pass	0.986	99.912	99.667	44.115	24.426	male	5511524422441081822019	H10	99.934	100
D0200030218.CEL	Pass	0.959	99.835	99.222	43.702	25.021	male	5511524422441081822019	E09	99.934	100
D0200030224.CEL	Pass	0.976	99.934	99.524	44.109	24.531	male	5511524422441081822019	F09	99.934	100
D0200030229.CEL	Pass	0.99	99.989	99.893	43.317	24.228	male	5511524422441081822019	F08	99.934	100
D0200030230.CEL	Pass	0.988	99.978	99.722	42.157	23.854	female	5511524422441081822019	F04	99.934	100
D0200030232.CEL	Pass	0.972	99.978	99.601	43.213	24.254	male	5511524422441081822019	F06	99.934	100
D0200030233.CEL	Pass	0.98	99.94	99.749	43.642	24.149	female	5511524422441081822019	H03	99.934	100
D0200030234.CEL	Pass	0.982	99.973	99.8	43.405	24.5	female	5511524422441081822019	E12	99.934	100
D0200030237.CEL	Pass	0.99	99.94	99.736	44.378	24.502	female	5511524422441081822019	G10	99.934	100
D0200030238.CEL	Pass	0.988	99.967	99.889	43.592	24.13	female	5511524422441081822019	G02	99.934	100
D0200030239.CEL	Pass	0.988	99.989	99.875	44.109	24.318	male	5511524422441081822019	H04	99.934	100
D0200030240.CEL	Pass	0.99	99.973	99.893	44.719	24.423	female	5511524422441081822019	H08	99.934	100
D0200030241.CEL	Pass	0.982	99.956	99.866	43.229	24.323	female	5511524422441081822019	F11	99.934	100
D0200030242.CEL	Pass	0.988	99.967	99.878	44.648	24.45	female	5511524422441081822019	F10	99.934	100
D0200030243.CEL	Pass	0.945	99.56	98.838	44.862	25.452	male	5511524422441081822019	G05	99.934	100
D0200030254.CEL	Pass	0.986	99.984	99.9	43.922	24.232	male	5511524422441081822019	G04	99.934	100
D0200030255.CEL	Pass	0.99	99.994	99.906	43.955	24.44	male	5511524422441081822019	H01	99.934	100
D0200030261.CEL	Pass	0.99	99.978	99.902	41.888	23.957	female	5511524422441081822019	H05	99.934	100
